model,instructions,examples,answers
qwen2.5:1.5b,"Generate ONLY a different comment to ""Good"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Great!
qwen2.5:1.5b,"Generate ONLY a different comment to ""Can you delete my account I'm unable to"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"Understandable; proceed with deleting your account, though it's frustrating."
qwen2.5:1.5b,"Generate ONLY a different comment to ""Alot of bots and undesirable people"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,A lot of bots and unwanted individuals.
qwen2.5:1.5b,"Generate ONLY a different comment to ""I assume I was shadowbanned because nothing is working"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"Assuming my issue stems from non-functionality, it's likely due to being temporarily blocked."
qwen2.5:1.5b,"Generate ONLY a different comment to ""First day it is nice . If any matches are not found it going to take account under review and it banns the account. Same situation happen to me. I don't know what I have crossed terms and conditions. Finally my account banned itself."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"Your experience sounds concerning, especially given how abruptly your account was terminated without clear reasons or explanation. It's crucial to review all details of any agreement you've signed and ensure compliance with terms before proceeding further"
qwen2.5:1.5b,"Generate ONLY a different comment to ""Was issued a permanent ban. Bad experience after seeing 90% of fake profiles."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Permanent ban imposed due to poor user interaction with false accounts detection system.
qwen2.5:1.5b,"Generate ONLY a different comment to ""Not quite sure if the shallowness of dating is brought on by tinder or it has just brought it to the fore. Anyway, this vicious cycle is something I'm tired of, and dating seems like a far off pipe dream for me. Tinder doesn't help, instead it sets in more self doubt and insecurity than any positive experiences or feelings it promises."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"You're fed up with Tinder's shallow dating culture that only perpetuates insecurities rather than providing meaningful connections. It feels like a futile pursuit for you now, despite its prevalence in today’s tech-driven"
qwen2.5:1.5b,"Generate ONLY a different comment to ""I registered and subscribed to this app in less than 3days only for me to be blocked, saying I have violated their terms and conditions which I have not. This app is a scam app Don't subscribe"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,This app seems designed purely as an annoyance rather than providing genuine benefits or services.
qwen2.5:1.5b,"Generate ONLY a different comment to ""Just got the app today, says it's under review should only take a couple minutes. I can't get into it. And this has been hours now."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Good luck with your application; they usually process requests quickly.
qwen2.5:1.5b,"Generate ONLY a different comment to ""You Broke It. This app was already broken, and all around lacking in comparison to other dating apps available. And just when you thought it can't get anyworse, you've completely flubbered the tools to add and remove photos by overcomplicating and redesigning an already functional tool no one asked you to change or redesign in the first place. Congrats, now it doesn't work at all- I'll go back to Bumble👋"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"You've made things worse by adding unnecessary complexity and changing a working feature that wasn’t meant for modification. Now you’re stuck with an app that doesn't work properly anymore - back to Bumble,"
qwen2.5:1.5b,"Generate ONLY a different comment to ""The limited amount of likes plus the amount of spam bots makes the whole experience trash. I really wish I could give it zero stars. Edit update: Wow, this app sucks.Then they have the balls to ask me to pay for features. Update: Far too many bots and fake profiles. Apparently you can't report fake profiles anymore for being straight up fake profiles. Tinder, fix yourself. Edit: Dear Tinder, remove whatever it is that lets ""calling cards"" be a thing."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,The app's user interface feels cluttered and outdated; I wish there were fewer ads to distract from its poor functionality.
qwen2.5:1.5b,"Generate ONLY a different comment to """"Oops, something went wrong"" Every time I try to log in"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Incorrect login details or an issue with your account have caused this problem. Please check them and try again.
qwen2.5:1.5b,"Generate ONLY a different comment to ""I got banned for no reason when I turned 18 stared it stopped using it after a relationship ended I went to go back and was banned idk what happened or why I was banned"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"You were probably banned because of your age. Relationships can change everything, including where you use it."
qwen2.5:1.5b,"Generate ONLY a different comment to ""Stupid app"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Brilliant idea!
qwen2.5:1.5b,"Generate ONLY a different comment to ""I believe its fake with so many fake IDs"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,This statement suggests suspicion of something being counterfeit due to numerous false identification documents present.
qwen2.5:1.5b,"Generate ONLY a different comment to ""Fiz a assinatura e nao recebi o email de confirmaçao com o numero, agora nao consigo restaurar minha compra"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Verify your account; it might be suspended.
qwen2.5:1.5b,"Generate ONLY a different comment to ""trash"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Garbage
qwen2.5:1.5b,"Generate ONLY a different comment to ""Scumbag app, makes it as hard as possible to cancel subscription while constantly pushing upgrade ads, I'm done..."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,I'll leave you alone now. Good luck with your unsubscribing!
qwen2.5:1.5b,"Generate ONLY a different comment to ""annoying that you can do so little until you pay up"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"You're amazed at how much they get away with without paying, aren't you?"
qwen2.5:1.5b,"Generate ONLY a different comment to ""Banned with no reason. I wasnt even using the app when i was banned"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,You were suspended without any explanation; you weren't using the app at all times.
qwen2.5:1.5b,"Generate ONLY a different comment to ""the culture is awful (not tinder's fault) and the restrictions on use heavily push people to the very expensive pay options (tinder's fault). taking it from two stars to one because the app recently stopped working for me. it's stuck in a loop where it asks for my phone number but won't do anything else. instant login option via email isn't working."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"The culture is terrible, and Tinder’s restrictions are to blame; you should have stopped being so restrictive from day one! I'm disappointed with your poor customer service."
qwen2.5:1.5b,"Generate ONLY a different comment to ""No body should use the app they are scammers your private details will be leaked to 3rd parties"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Never trust apps that ask for personal info without permission. Your data could easily fall into wrong hands!
qwen2.5:1.5b,"Generate ONLY a different comment to ""I never get real matches, just scams."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Never encounter genuine connections; always deal with fraudulent schemes instead.
qwen2.5:1.5b,"Generate ONLY a different comment to ""accha"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Ah yes?
qwen2.5:1.5b,"Generate ONLY a different comment to ""Algorithms are unclear and lots of dead profiles"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"Sure! Here's an alternative way to express that idea:

""Algorithmic understanding is lacking, with many inactive user accounts."""
qwen2.5:1.5b,"Generate ONLY a different comment to ""Good"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Great!
qwen2.5:1.5b,"Generate ONLY a different comment to ""Garbage app made by an unethical company."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Unethical business practices result in poor-quality software products.
qwen2.5:1.5b,"Generate ONLY a different comment to ""Only loading not moving ahead"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"""Loading is stationary; progress has yet to be made."""
qwen2.5:1.5b,"Generate ONLY a different comment to ""banned for no reason. they wouldn't elaborate when i appealed"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"You were unfairly punished without explanation, and your appeal was ignored."
qwen2.5:1.5b,"Generate ONLY a different comment to ""👍"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,👍 Agreed!
qwen2.5:1.5b,"Generate ONLY a different comment to ""I was banned avytime I try to login, I used the app once was asked to take a picture of my face I did take it I was stupid, then they banned me hhhhhh, it's crazy, why did you ban me? I was trying to see how the app operate, I sent a picture , then banned 🚫????? Are a scam!? Are you serious?"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Why would they want your face for something as trivial as operating an app when there are so many other ways to get in without needing it? This is just ridiculous.
qwen2.5:1.5b,"Generate ONLY a different comment to ""you guy always block account easily"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Your accounts frequently get blocked too easily.
qwen2.5:1.5b,"Generate ONLY a different comment to ""This app is a scam. You have to pay to do anything . U get 5 likes then you have to pay for anything else. U wanna see anybody . Gotta pay . When u run out of likes you can't even share the person to try to come back with more likes because it'll say there was an error and to try back once that page is gone . Smh app is pretty terrible"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"This ""app"" seems like a scam, promising free use for a fee. You're essentially trapped with limited likes or no access to others unless you shell out money first. The user experience is terrible"
qwen2.5:1.5b,"Generate ONLY a different comment to ""Aish this app just banned me for no reason, I had my own pic , they told me verify my acc one and and I did then they go me banned . So disappointing . U need to check this issue it's so irritating atleast keep banned for few days or months with a warning rather than banning it for almost lifetime ."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"This app has been unfair in removing my account without any reason, especially after verifying and following their instructions. It's frustrating that I'm being banned permanently instead of just a temporary ban with warnings or limited"
qwen2.5:1.5b,"Generate ONLY a different comment to ""It does notallow one to see their likes"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,This feature prevents users from observing who has liked their content.
qwen2.5:1.5b,"Generate ONLY a different comment to ""Please how can I remove my subscription? The payment method I went for. I'm debited every month and I don't want that anymore"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"Thank you, please guide me on how to cancel this service without being charged monthly."
qwen2.5:1.5b,"Generate ONLY a different comment to ""The app gotten worse with days, now everything is cost extra and clearly aims to cash up a maximum of money. Ps: thank you for copy pasting the same answer on every 1* rating you get. Yes it's free, and it's designed to be very frustrating for guys to get any matches on purpose to encourage cost extra features. At this point and with this many 1* ratings, it should be clear that you know what's wrong and what needs to be changed. Yet, here you are, making a buisness on the misery of people."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"The app has deteriorated over time; now everything is costly and clearly aims at maximizing profits by intentionally frustrating users to generate additional revenue. Despite receiving numerous 1-star ratings, it should be evident that"
