id,content,score,gender,location,date
602,Great!,1,male,"Valencia, Spain",2022-10-22
1,"Understandable; proceed with deleting your account, though it's frustrating.",1,male,"Valencia, Spain",2022-05-23
2,A lot of bots and unwanted individuals.,1,male,"Adelaide, Australia",2025-09-12
3,"Assuming my issue stems from non-functionality, it's likely due to being temporarily blocked.",1,male,"Bangalore, India",2023-05-19
4,"Your experience sounds concerning, especially given how abruptly your account was terminated without clear reasons or explanation. It's crucial to review all details of any agreement you've signed and ensure compliance with terms before proceeding further",1,male,"Tokyo, Japan",2023-04-01
5,Permanent ban imposed due to poor user interaction with false accounts detection system.,1,male,"Budapest, Hungary",2022-01-06
6,"You're fed up with Tinder's shallow dating culture that only perpetuates insecurities rather than providing meaningful connections. It feels like a futile pursuit for you now, despite its prevalence in today’s tech-driven",1,male,"Singapore, Singapore",2022-12-13
7,This app seems designed purely as an annoyance rather than providing genuine benefits or services.,1,male,"Bangkok, Thailand",2022-12-16
8,Good luck with your application; they usually process requests quickly.,1,male,"Brasília, Brazil",2024-12-11
9,"You've made things worse by adding unnecessary complexity and changing a working feature that wasn’t meant for modification. Now you’re stuck with an app that doesn't work properly anymore - back to Bumble,",1,male,"Dakar, Senegal",2023-12-26
10,The app's user interface feels cluttered and outdated; I wish there were fewer ads to distract from its poor functionality.,1,male,"Córdoba, Argentina",2025-02-19
11,Incorrect login details or an issue with your account have caused this problem. Please check them and try again.,1,male,"Edinburgh, United Kingdom",2022-07-07
12,"You were probably banned because of your age. Relationships can change everything, including where you use it.",1,male,"Dallas, United States",2024-06-05
13,Brilliant idea!,1,male,"Johannesburg, South Africa",2023-11-14
14,This statement suggests suspicion of something being counterfeit due to numerous false identification documents present.,1,male,"Busan, South Korea",2022-12-15
15,Verify your account; it might be suspended.,1,male,"Kampala, Uganda",2023-09-29
16,Garbage,1,male,"Tel Aviv, Israel",2022-12-24
17,I'll leave you alone now. Good luck with your unsubscribing!,1,male,"Durban, South Africa",2023-07-17
18,"You're amazed at how much they get away with without paying, aren't you?",1,male,"Buenos Aires, Argentina",2025-05-09
19,You were suspended without any explanation; you weren't using the app at all times.,1,male,"New York, United States",2024-08-15
20,"The culture is terrible, and Tinder’s restrictions are to blame; you should have stopped being so restrictive from day one! I'm disappointed with your poor customer service.",1,male,"Milan, Italy",2022-08-08
21,Never trust apps that ask for personal info without permission. Your data could easily fall into wrong hands!,1,male,"Mexico City, Mexico",2024-07-23
22,Never encounter genuine connections; always deal with fraudulent schemes instead.,1,male,"Guadalajara, Mexico",2024-07-20
23,Ah yes?,1,male,"Washington DC, United States",2024-06-12
24,"Sure! Here's an alternative way to express that idea:

""Algorithmic understanding is lacking, with many inactive user accounts.""",1,male,"Suva, Fiji",2025-09-20
25,Great!,1,male,"Asunción, Paraguay",2025-04-07
26,Unethical business practices result in poor-quality software products.,1,male,"Caracas, Venezuela",2025-01-29
27,"""Loading is stationary; progress has yet to be made.""",1,male,"Krakow, Poland",2022-05-08
28,"You were unfairly punished without explanation, and your appeal was ignored.",1,male,"Dallas, United States",2024-08-29
29,👍 Agreed!,1,male,"Medellín, Colombia",2024-11-05
30,Why would they want your face for something as trivial as operating an app when there are so many other ways to get in without needing it? This is just ridiculous.,1,male,"Sydney, Australia",2025-07-19
31,Your accounts frequently get blocked too easily.,1,male,"Dubai, United Arab Emirates",2023-01-29
32,"This ""app"" seems like a scam, promising free use for a fee. You're essentially trapped with limited likes or no access to others unless you shell out money first. The user experience is terrible",1,male,"Karachi, Pakistan",2022-12-24
33,"This app has been unfair in removing my account without any reason, especially after verifying and following their instructions. It's frustrating that I'm being banned permanently instead of just a temporary ban with warnings or limited",1,male,"Santa Cruz, Bolivia",2025-02-26
34,This feature prevents users from observing who has liked their content.,1,male,"Tunis, Tunisia",2023-07-08
35,"Thank you, please guide me on how to cancel this service without being charged monthly.",1,male,"Rio de Janeiro, Brazil",2025-03-06
36,"The app has deteriorated over time; now everything is costly and clearly aims at maximizing profits by intentionally frustrating users to generate additional revenue. Despite receiving numerous 1-star ratings, it should be evident that",1,male,"Perth, Australia",2025-06-20
37,"The Tinder exploration feature has vanished, rendering me unable to access or view its functionality. This change was unwarranted; restoring this option is essential for users like myself who rely on it daily.",1,male,"Fortaleza, Brazil",2025-03-08
38,"Thank you for sharing this valuable information about data collection and pricing strategies in software development. It's important to be mindful of how we handle our personal data, especially when it comes with such high costs.",1,male,"Nadi, Fiji",2025-09-01
39,Money taken despite shadow ban,1,male,"Tokyo, Japan",2023-02-02
40,"2024 update remains atrocious; designed poorly to coerce payment and ruins user experience by preventing message deletion and making it hard to get help with issues. Don't recommend this shady, scammy",1,male,"Cali, Colombia",2025-01-16
41,I'm done with Tinder too; it's just a bot account now.,1,male,"Montreal, Canada",2024-07-10
42,"Many inactive accounts; subscription fees, as advised by others, seem futile compared to alternative options available.",1,male,"Vienna, Austria",2022-04-29
43,"""Can’t access; login issue.""",1,male,"Lisbon, Portugal",2022-07-13
44,I just made an account yesterday... opened it for the first time today.. wanted me to verify I'm a human.. kept glitching out and I had to reboot the app several times before finally could,1,male,"Busan, South Korea",2023-03-17
45,The issue with apps has been exacerbated by an overabundance of fake followers and bots.,1,male,"Phuket, Thailand",2023-04-18
46,"The relationship seems one-sided, as neither party wants it reciprocated.",1,male,"Barcelona, Spain",2022-08-26
47,"The new update has completely altered the look; it's way too childish and outdated. Could we revert to the previous design? Also, please consider making dark mode accessible worldwide instead of limiting its availability only",1,male,"Doha, Qatar",2023-04-08
48,"Tinder's ""SELECT"" feature is truly remarkable; it feels like meeting someone from a different part of the world. 🌍✨",1,male,"Vancouver, Canada",2024-02-08
49,"Platinum pricing based on demographics feels exploitative and unfair, shouldn't it?",1,male,"Seattle, United States",2024-08-01
50,It's really disappointing.,1,male,"Brasília, Brazil",2025-01-01
51,"So, starting with only fans back in 2019 was a gamble hoping for something meaningful... no luck so far. Now that you need their super premium to even use it properly and seeing",1,male,"Stockholm, Sweden",2022-03-26
52,Great job! This app is absolutely terrible!,1,male,"Christchurch, New Zealand",2025-06-30
53,Working fine now.,1,male,"Tel Aviv, Israel",2023-06-03
