model,instructions,examples,answers
qwen2.5:1.5b,"Generate ONLY a different comment to ""mostly just a hookup app. the distance selection is a little bugged out had mine set for 50 miles would still get suggestions of people 150+ miles. it's also become a major ""pay to play"" app."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"Mostly just Tinder, with some added features that don't work well together. The price system has gotten out of hand too much."
qwen2.5:1.5b,"Generate ONLY a different comment to ""ehhh.. .I prefer meeting people face to face but that has become a lost art form. Sometimes, you have to try something new"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Ehhh... I miss when we could just meet up and chat without needing technology in between.
qwen2.5:1.5b,"Generate ONLY a different comment to ""Can't choose multiple options within: -Pets (cats only, dogs only, all the pets, but can't choose this AND that). -What you're looking for (friends, AND long term.. or friends AND short term).. Spotify set up also has a glitch that's been happening for years that tinder just doesn't fix, adding artists that people don't listen to, and can't remove from being seen."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Can’t select multiple options within Pets (cats only/dogs only/all pets/choose none). What you're looking for are friends AND long term relationships. Spotify's glitch keeps adding artists people don't
qwen2.5:1.5b,"Generate ONLY a different comment to ""Incredibly frustrating with little to no support. I paid for platinum and I constantly get push notifications saying I have a new like but when I open the app there is nothing. I contacted support and they said they cannot help. I was mid conversation with several matches and the app suddenly crashed and when I reopened it all my matches were gone!! Waste of money and I want a refund. So buggy and support is useless. I am so unsatisfied. Edit: I reinstalled the app and it restored my matches."", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"I agree, this experience has been extremely disappointing with no resolution to issues reported or assistance from support. The constant crashes during conversations are particularly frustrating as they disrupt ongoing interactions. I'm left feeling like my"
qwen2.5:1.5b,"Generate ONLY a different comment to ""good"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Great!
qwen2.5:1.5b,"Generate ONLY a different comment to ""good"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Great!
qwen2.5:1.5b,"Generate ONLY a different comment to ""good 👍"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Great!
qwen2.5:1.5b,"Generate ONLY a different comment to ""good"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Great!
qwen2.5:1.5b,"Generate ONLY a different comment to ""it's very nice put the payment system does not favour us if u don't have. debits card ..please what of the locally system of payment ..like MOMO payments or"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"Thank you for considering this point regarding local payment systems like M-PESA, which offer alternatives to debit cards."
qwen2.5:1.5b,"Generate ONLY a different comment to ""Its an above average dating app but premium is rather high and its all over the place telling us to subscribe"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,"This dating app offers decent features, just at a steep price point."
qwen2.5:1.5b,"Generate ONLY a different comment to ""the restrictions are still much"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,The limitations remain substantial.
qwen2.5:1.5b,"Generate ONLY a different comment to ""good app"", but keep the same meaning.Do not add more text than the necessary.
###TASK
Comment:",,Great application!
