reviewId,content,score,gender,location,date,Prob Pos: Conocer gente sin complicaciones,Prob Pos: Divertido conocer gente,"Prob Pos: Fácil de usar, modo free",Prob Pos: Para viajar,Cluster_asignado,City,Country,Grupo_Sentimiento,Nombre_Topico
ba326d4c-5f47-476b-a7f4-21f25620fb9f,Great app to meet women. Just find it annoying that I keep runing out of profiles to swipe. So have to make radius wider. But I am not always in the mood for a long drive just to meet up. Otherwise cool!,4,male,"Zurich, Switzerland",2015-03-29,0.8897,0.0331,0.036,0.0412,0,Zurich,Switzerland,Positivo,Útil para viajar
e2924168-c5f2-4feb-a8a3-af9a054de69d,It's a great app and has possibilities to meet a lifetime partner,4,male,"Marrakesh, Morocco",2016-11-04,0.4355,0.0578,0.4347,0.0719,0,Marrakesh,Morocco,Positivo,Útil para viajar
09ef4140-99ec-42f8-9862-0117d01e74d4,My 1st day 24hr. review I like what I see so far!,4,male,"Athens, Greece",2015-06-06,0.0633,0.0576,0.8042,0.0749,2,Athens,Greece,Positivo,Fácil de usar
e15d8013-2b05-4ca5-9bdf-66af628d2bc7,So far it's a four star that I'm liking. Would be my first time on here and I pray I find my Queen,4,male,"Dublin, Ireland",2015-05-03,0.8583,0.042,0.0463,0.0534,0,Dublin,Ireland,Positivo,Útil para viajar
5cc42498-daba-496f-8968-f3220fa9f822,Pretty good. Would be very helpful if you could sort your matches by distance.,4,male,"Stockholm, Sweden",2015-01-26,0.063,0.0577,0.8075,0.0719,2,Stockholm,Sweden,Positivo,Fácil de usar
924a64a7-75d4-411f-92f0-0d4bc8552cd3,"Good for meeting people, but not necessarily good for finding a relationship!",4,male,"Bangalore, India",2016-06-04,0.5519,0.3497,0.046,0.0524,0,Bangalore,India,Positivo,Útil para viajar
aad91128-28d1-4abe-9e80-9dd650278e59,nice app but atleast make it free for messaging,4,male,"Mumbai, India",2016-05-13,0.1002,0.0918,0.6935,0.1145,2,Mumbai,India,Positivo,Fácil de usar
31c0a1ef-de49-49f7-bda5-53671ea03b05,"if you are willing to sift through the debris, and are open to disappointment. this is the app for you. the app is littered with broken, self indulgence and people selling things. but there are some awesome people if you look, and are patient. if you just want to have fun. that's here too. if you want to pay for that fun... that's here too. and if you like vacuous beauty... that's here too. hahah just kidding those are scams.",4,male,"Marseille, France",2015-06-04,0.3751,0.5707,0.0253,0.0289,1,Marseille,France,Positivo,Cara pero funciona
0a80fb04-faad-427e-814d-8244a1f86d48,"Updating since watching ads isnnow working. But can you add a feature where we can see in which devices are we logged in, for security purposes. Thank you.",4,male,"Kumasi, Ghana",2016-11-01,0.0458,0.042,0.8598,0.0524,2,Kumasi,Ghana,Positivo,Fácil de usar
9e69dba3-6df9-4c7b-8f89-effa3c55890d,Add a super dislike button,4,male,"Harare, Zimbabwe",2016-09-19,0.1,0.0918,0.6937,0.1145,2,Harare,Zimbabwe,Positivo,Fácil de usar
fa854847-1c37-4908-80c7-b9297054d864,"There is a new bug. It happens when you try to change the region to another than your location. It is very hard for the app to accept the change, and once it does, its hard to changr back to ""my current location"". It started a few days ago.",4,male,"Amsterdam, Netherlands",2015-07-05,0.036,0.0331,0.8898,0.0412,2,Amsterdam,Netherlands,Positivo,Fácil de usar
921123c9-c43e-4295-9a64-6fddf425e810,Great app for meeting new people. Good work Tinder Team,4,male,"Dublin, Ireland",2015-09-21,0.6762,0.0331,0.2495,0.0412,0,Dublin,Ireland,Positivo,Útil para viajar
21386756-0bf1-4e10-aa3f-7f15ad903936,"Don't like how you can't just message people, but I suppose this is a good system of filtering out scammers. Like all dating apps, this is personal data harvesting on an industrial scale.",4,male,"Glasgow, United Kingdom",2015-10-24,0.6932,0.0921,0.1002,0.1145,0,Glasgow,United Kingdom,Positivo,Útil para viajar
